Nome,Preço,URL
PEDALEIRA BEHRINGER BASS V-AMP,R$ 350,https://www.facebook.com/marketplace/item/879294096840111/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Vendo,R$ 700,https://www.facebook.com/marketplace/item/743005137296018/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contrabaixo SX Jazz Bass em Ash,R$ 1.699,https://www.facebook.com/marketplace/item/749395280233967/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Vendo/Troco volta $$,R$ 1.250,https://www.facebook.com/marketplace/item/570055921886531/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
URGENTE - Jazz Bass SX standard series Seminovo,R$ 1.350,https://www.facebook.com/marketplace/item/1717075552040796/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Bass collection japonês,Gratuito,https://www.facebook.com/marketplace/item/818707656047208/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Vendo dois target Bass 3k,R$ 1.200,https://www.facebook.com/marketplace/item/1725309197867387/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contrabaixo Sx Jazz Bass com captação Fender Noiseless,R$ 2.199,https://www.facebook.com/marketplace/item/233249579106793/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
U bass marca Uk Dream modelo UB 113,R$ 1.200,https://www.facebook.com/marketplace/item/1302795200258917/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Epiphone Viola Bass,R$ 2.800,https://www.facebook.com/marketplace/item/447678780877613/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Vendo Bass TAGIMA TBM5,R$ 1.450,https://www.facebook.com/marketplace/item/1539505699910228/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
"SX - Jass Bass, Vintage Séries",Gratuito,https://www.facebook.com/marketplace/item/1390981798326854/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Lindo Baixo Condor 6 Cordas,R$ 1,https://www.facebook.com/marketplace/item/479532487721559/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Bass collection japonês / Troco Por SX,Gratuito,https://www.facebook.com/marketplace/item/1346230942888280/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
TROCO Fender Jazz Bass MIM 2018 por Fender Precision bass. (NÃO VENDO) APENAS TROCO.,R$ 750.000,https://www.facebook.com/marketplace/item/793500595141369/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Squier Jazz Bass Deluxe by Fender,R$ 2.700,https://www.facebook.com/marketplace/item/897565254633877/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Amplificador VOX Bass 15w,R$ 700,https://www.facebook.com/marketplace/item/1177773022905136/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Jazz Bass squier 5 cordas,R$ 3.100,https://www.facebook.com/marketplace/item/809471320300856/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
"Baixo Giannini Stratosonic GCB08FN, Jazz Bass, anos 80",R$ 1.250,https://www.facebook.com/marketplace/item/752311422891686/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Vdo /troco Case rígido de baixo jazz Bass usado em boas condições.,R$ 250,https://www.facebook.com/marketplace/item/850420949529551/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Sx jazz bass,R$ 1.800,https://www.facebook.com/marketplace/item/510276107693539/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Squier Mini Precision - Escala reduzida - Ideal para criança (infantil) ou estudo,R$ 2.490,https://www.facebook.com/marketplace/item/1217734165502460/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Vende Amplificador Meteorws Bass Bx 115-t,R$ 2.200,https://www.facebook.com/marketplace/item/609850224385535/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Phx Jazz Bass Canhoto + Bag e Pedaleira,R$ 1.200,https://www.facebook.com/marketplace/item/866073601121772/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
URGENTE - JAZZ BASS SX STANDARD,R$ 1.500,https://www.facebook.com/marketplace/item/122584107350942/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contrabaixo Fender Jass bass parcelo!,R$ 2.300,https://www.facebook.com/marketplace/item/691700196029018/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Fender Jazz Bass Marcus Miller Japan - Aceito Road Worn,R$ 7.300,https://www.facebook.com/marketplace/item/2707852179354124/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Vendo Contra Baixo warwick,R$ 3.500,https://www.facebook.com/marketplace/item/186025767102066/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Fender Precision Bass,Gratuito,https://www.facebook.com/marketplace/item/133566639557542/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contrabaixo Tagima TJB5 Jazz Bass Personalizado,R$ 2.100,https://www.facebook.com/marketplace/item/239361735326383/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Jazz Bass Tagima Tw 73 ZERADO,R$ 1.050,https://www.facebook.com/marketplace/item/1442181073203931/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Strinberg JP (Precision e Jazz Bass),R$ 550,https://www.facebook.com/marketplace/item/922451682208322/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Jazz bass 5 bocas CONDOR,R$ 1.400,https://www.facebook.com/marketplace/item/184744991029281/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Boa noite pessoal Estou vendendo meu baixo condor cjb 5a vintage interessados chama no PV,R$ 1.500,https://www.facebook.com/marketplace/item/449785824004590/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Vendo ou troco,R$ 2.000,https://www.facebook.com/marketplace/item/612672127069179/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Squier Jazz Bass - Califórnia Séries,R$ 2.500,https://www.facebook.com/marketplace/item/1622484521511544/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contrabaixos 4 e 5 cordas parcelo!,R$ 600,https://www.facebook.com/marketplace/item/829695178344269/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
((PROMOÇÃO RELÂMPAGO)) Baixo Tobias Standart IV,R$ 1.100,https://www.facebook.com/marketplace/item/571827954965504/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Precision Bass Sx Novissimo,R$ 1.350,https://www.facebook.com/marketplace/item/549062150676390/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Curbow 4 Cordas captação Bartolini ativo.,R$ 1,https://www.facebook.com/marketplace/item/238256188728361/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Condor bx12,R$ 800,https://www.facebook.com/marketplace/item/1255941438538038/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Yamaha RBX 775,Gratuito,https://www.facebook.com/marketplace/item/1526105817921665/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo - bom estado,R$ 450,https://www.facebook.com/marketplace/item/6046483595443113/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Eagle 4 Cordas,R$ 700,https://www.facebook.com/marketplace/item/3102874260009658/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contrabaixo Memphis By Tagima 4 Cordas,R$ 600,https://www.facebook.com/marketplace/item/205078405561823/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Vendo ou troco,R$ 700,https://www.facebook.com/marketplace/item/1081207276127819/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contrabaixo Tagima TBM 4 Classic Series,R$ 1.100,https://www.facebook.com/marketplace/item/1400596907419948/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Tagima tw 66,R$ 800,https://www.facebook.com/marketplace/item/2189024044631755/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contrabaixos 5 cordas parcelo 12x,R$ 750,https://www.facebook.com/marketplace/item/1150033609015725/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Preciso Bass Pj Cab16 Strimberg Com Captadores Cabrera,R$ 1.000,https://www.facebook.com/marketplace/item/559038652999946/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Eagle egb 5000,R$ 800,https://www.facebook.com/marketplace/item/999895721384161/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Tagima Tw73 parcelo no cartão! Com capa e cabo,R$ 750,https://www.facebook.com/marketplace/item/919845419464367/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo,R$ 550,https://www.facebook.com/marketplace/item/534684008781029/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contra baixo ..,R$ 1.200,https://www.facebook.com/marketplace/item/585461996300187/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contra baixo,R$ 590,https://www.facebook.com/marketplace/item/1328989097661397/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Rbx 375 Yamaha Top De Linha,R$ 1.800,https://www.facebook.com/marketplace/item/604159578283407/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
AC1 Rhythm VOX Bass,R$ 400,https://www.facebook.com/marketplace/item/226494703250722/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
