Nome,Preço,URL
Instrumentos musicais,R$ 350,https://www.facebook.com/marketplace/item/765037611677071/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contrabaixo RICKENBACKER,R$ 5.000,https://www.facebook.com/marketplace/item/549684657265470/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Amplificador e contra baixo,R$ 400,https://www.facebook.com/marketplace/item/3398649177058712/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Spector Freless 4 Spectorcore Emg Hz + Piezo Fishman,R$ 3.800,https://www.facebook.com/marketplace/item/1213101875987811/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Sire V3 Orange - / Sem Trocas,R$ 4.500,https://www.facebook.com/marketplace/item/1173734950007462/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contrabaixo Strinberg 4 cordas,R$ 800,https://www.facebook.com/marketplace/item/417179660613089/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Cabeçote Meteoro,R$ 1.200,https://www.facebook.com/marketplace/item/997799041196934/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contra baixo condor 5 Cordas Ativo,R$ 1,https://www.facebook.com/marketplace/item/470058971974662/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixolão 5 cordas Strinberg modelo BA 550C (com bag),R$ 900,https://www.facebook.com/marketplace/item/710356067285476/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Cubo para teclado ou guitarra meteoro rx 100 -ler discrição,R$ 800,https://www.facebook.com/marketplace/item/947619742922846/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Cubo Para Guitarra 15w Nitrous Drive 15 Meteoro,R$ 300,https://www.facebook.com/marketplace/item/696556108928649/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Zoom B1on pedaleira de bass,R$ 499,https://www.facebook.com/marketplace/item/959318891723701/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Pedal Groovin bass chorus BCH-300,R$ 300,https://www.facebook.com/marketplace/item/2169022609963948/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo golden jazz bass padrão,R$ 699,https://www.facebook.com/marketplace/item/234589195681826/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contrabaixo Tagima Precision Bass,R$ 1.000,https://www.facebook.com/marketplace/item/150422461305019/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contra Baixo Tagima TJB5 Jazz Bass NOVO + REGULAGEM + FRETE GRÁTIS,R$ 1.999,https://www.facebook.com/marketplace/item/536151208651845/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contra Baixo Jazz Bass Fretless Luthier - OFERTA!!!,R$ 1.000,https://www.facebook.com/marketplace/item/539716671664526/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Vendo ou troco por Jazz Bass,Gratuito,https://www.facebook.com/marketplace/item/1265815037348182/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contra baixo jazz bass Auburn 4 corda,R$ 800,https://www.facebook.com/marketplace/item/927214334924781/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contra Baixo Fender Squier Classic Vibe 60s Jazz Bass 4c,R$ 2.500,https://www.facebook.com/marketplace/item/895056265044611/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Jazz Bass Garcia,R$ 4.400,https://www.facebook.com/marketplace/item/573210911400838/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
contrabaixo ibanez ativo 5 cordas,R$ 450,https://www.facebook.com/marketplace/item/904015720808377/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
DOAÇÃO/ SÓ PRA CHAMAR ATENÇÃO Baixo Michael Jazz Bass,R$ 900,https://www.facebook.com/marketplace/item/239421648484341/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo jazz bass tagima classic,R$ 1.450,https://www.facebook.com/marketplace/item/820590339253908/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Accord Precision Bass,R$ 600,https://www.facebook.com/marketplace/item/2609736075832744/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Jazz Bass SX VTG - customizado,R$ 1.800,https://www.facebook.com/marketplace/item/1452280205304301/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
BOSS Bass Equalizer GEB-7,R$ 400,https://www.facebook.com/marketplace/item/554853740046765/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Amplificador Bass 150 Staner,R$ 1.200,https://www.facebook.com/marketplace/item/792558905195553/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Squier Precision Bass 5 Cordas,R$ 2.800,https://www.facebook.com/marketplace/item/723790229427524/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Bass Collection Jazz Bass 5 cordas,R$ 3.600,https://www.facebook.com/marketplace/item/3196645750584100/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contrabaixo Jackson Concert Bass Minion Prata Satin Js1x Cb,R$ 2.200,https://www.facebook.com/marketplace/item/716125793322780/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Yamaha TRBX 305,R$ 1.900,https://www.facebook.com/marketplace/item/5917710101651110/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Da Fender.,R$ 3.000,https://www.facebook.com/marketplace/item/592697229034049/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo 5 Cordas PHX Jazz Bass Ativo Natural - Fotos Reais!,R$ 1.490,https://www.facebook.com/marketplace/item/513050316949502/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Canhoto Sx Jazz Bass Em Ash,R$ 1.900,https://www.facebook.com/marketplace/item/3480449115614426/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Shelter Precision Anos 90,R$ 990,https://www.facebook.com/marketplace/item/633479975268680/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contrabaixo Jazz Bass Lancer (Luthier Doni),R$ 2.000,https://www.facebook.com/marketplace/item/207790515243279/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contra Baixo Crafter,R$ 750,https://www.facebook.com/marketplace/item/900934661189040/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contra Baixo,R$ 1,https://www.facebook.com/marketplace/item/1375200826611690/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixolao elétrico Wolf 4 cordas com afinador,R$ 550,https://www.facebook.com/marketplace/item/1889941251363151/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixa 4 cordas Giannini,R$ 870,https://www.facebook.com/marketplace/item/595657882606646/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Yamaha TRBX305,R$ 3.500,https://www.facebook.com/marketplace/item/2336549629848502/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Bass guitar,R$ 500,https://www.facebook.com/marketplace/item/647399637388632/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Par de Captadores Squier Affinity Jazz Bass,R$ 300,https://www.facebook.com/marketplace/item/146097314779760/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo,R$ 900,https://www.facebook.com/marketplace/item/558413442921525/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contrabaixo elétrico 4 cordas,R$ 1.500,https://www.facebook.com/marketplace/item/845720316761553/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
"Vdo/troco baixo sx vintage, padrão top profissional, regulado, timbre excelente, pegar e tocar.",R$ 1.399,https://www.facebook.com/marketplace/item/961332678561017/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contrabaixo Eagle JazzBass 4 cordas,R$ 700,https://www.facebook.com/marketplace/item/5215070585262911/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Fender Jazz Bass MIM,R$ 5.600,https://www.facebook.com/marketplace/item/476109341262062/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Passivo Shelter SX dos antigos Precision bass,R$ 1.150,https://www.facebook.com/marketplace/item/745667590427816/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Pra vender !!! Baixo Fender Squier Modified. Jazz Bass. Classico,R$ 3.500,https://www.facebook.com/marketplace/item/697215235152282/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
"Cubos de baixos de estudo a partir de 370, 3 meses de garantia Misterbaixo.",R$ 370,https://www.facebook.com/marketplace/item/763449378320297/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Warwick Corvette Rockbass 5c Ativo,R$ 2.400,https://www.facebook.com/marketplace/item/618606216724911/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
SEM TROCAS Vendo Baixo Eletroacústico Ovation Celebrity Cs274.,R$ 2.200,https://www.facebook.com/marketplace/item/715139827057362/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contrabaixo groovin 4 cordas parcelo!,R$ 750,https://www.facebook.com/marketplace/item/6137780536232735/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Warwick RockBass,R$ 4.000,https://www.facebook.com/marketplace/item/1378544819628342/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Condor Sunburst 5Cordas,R$ 740,https://www.facebook.com/marketplace/item/2135051396695194/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Fender Jazz Bass Flea (RHCP) Signature,R$ 10.900,https://www.facebook.com/marketplace/item/589425066566898/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contrabaixo Tagima Millenium 4c Ativo,R$ 1.000,https://www.facebook.com/marketplace/item/2315261911995006/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Fender Jazz Bass Flea Signature,R$ 10.000,https://www.facebook.com/marketplace/item/938643903930857/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo CAST Régio ( Luthier Josino ),R$ 2.200,https://www.facebook.com/marketplace/item/250289857437808/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contra Baixo Tagima Woodstock Series,R$ 1.290,https://www.facebook.com/marketplace/item/2139379242921307/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Cubo Working Pro 10 Bass Combo Amp 230V EUR,R$ 2.500,https://www.facebook.com/marketplace/item/941517250599406/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Golden (Preto Fosco),R$ 680,https://www.facebook.com/marketplace/item/219871297180216/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo squier Prescision jass 5 capitadores de alnico circuito Belmonte Hurricane (venda),R$ 5.500,https://www.facebook.com/marketplace/item/998628724454245/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Guitarra Memphis by Tagima Mg330,R$ 450,https://www.facebook.com/marketplace/item/1121887731985369/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
CONTRABAIXO FENDER PRECISION BASS SPECIAL DELUXE,R$ 11.500,https://www.facebook.com/marketplace/item/5941325399299253/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Cubo Meteoro super Bass RX100 falante de 15,R$ 1.000,https://www.facebook.com/marketplace/item/576714161084746/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contrabaixo Cort A5,R$ 3.599,https://www.facebook.com/marketplace/item/1205990683671680/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
"Baixo Warwick Corvette RB 5 cordas morrom fosco com Captação MEC, todo original.",R$ 3.999,https://www.facebook.com/marketplace/item/248030727647957/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contrabaixo SX,R$ 1.450,https://www.facebook.com/marketplace/item/1410551223106509/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Fender Jazz Bass Aerodyne,R$ 7.999,https://www.facebook.com/marketplace/item/749876480038793/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Cort B5,R$ 2.850,https://www.facebook.com/marketplace/item/561789802557125/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contra Baixo Sx,R$ 1.000,https://www.facebook.com/marketplace/item/1372576483312768/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo 5 cordas eagle egb 5100,$ 1.500,https://www.facebook.com/marketplace/item/682444710330851/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Squier 60 Modified,R$ 2.950,https://www.facebook.com/marketplace/item/950265502661796/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Tagima Tw73 Ativo,R$ 900,https://www.facebook.com/marketplace/item/732367428499651/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contra Baixo 5 Cordas Ativo Strinberg,R$ 900,https://www.facebook.com/marketplace/item/1392617521511614/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Fender Precision México,R$ 4.400,https://www.facebook.com/marketplace/item/129547516615463/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Fender Contra baixo China,R$ 2.000,https://www.facebook.com/marketplace/item/178212201663131/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contrabaixo Ibanez BTB-400 QM Cherry Made In Korea,R$ 1.950,https://www.facebook.com/marketplace/item/1561477487676627/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Condor BC 500 Cordas Ativo,R$ 1.100,https://www.facebook.com/marketplace/item/920545612317138/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contrabaixo Ibanez SR745 Japonês,R$ 4.500,https://www.facebook.com/marketplace/item/1149947522277888/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
"Baixo Music maker, 4 cordas",R$ 5.400,https://www.facebook.com/marketplace/item/1936575806684382/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Elétrico 6 Cordas Tagima,R$ 1.800,https://www.facebook.com/marketplace/item/3466824990215855/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo 4 cordas,R$ 450,https://www.facebook.com/marketplace/item/572024104850268/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Sire V7,R$ 7.000,https://www.facebook.com/marketplace/item/872967583995678/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Fender Elite 5c NAO ACEITO TROCAS,R$ 18.000,https://www.facebook.com/marketplace/item/726280875572437/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Vendo ou troco... Troca por contrabaixo modelo Precision Bass ou Jazz Bass...,R$ 1.000,https://www.facebook.com/marketplace/item/735471078122838/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Yamaha RBX800A,R$ 3.200,https://www.facebook.com/marketplace/item/902104851120873/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Cort dlx 6 com caps emg,R$ 3.100,https://www.facebook.com/marketplace/item/1581782502263626/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
EpiPhone Sg Made In Korea 2001,R$ 2.200,https://www.facebook.com/marketplace/item/3309124639417363/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Yamaha 5 cordas BB615,R$ 2.990,https://www.facebook.com/marketplace/item/528815509358997/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Cubo Para Baixo Thunderbolt B100 100w - Vendo ou Troco por instrumentos musicais,R$ 950,https://www.facebook.com/marketplace/item/223046137069350/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Condor P Master Ativo Caps EMG,R$ 3.300,https://www.facebook.com/marketplace/item/706726351239291/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contra Baixo Ibanez 5 Cordas Gsr 395,R$ 1.399,https://www.facebook.com/marketplace/item/596898955577210/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Strinberg 5c Ativo,R$ 1.200,https://www.facebook.com/marketplace/item/1536342036804795/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Cubo Staner para baixo,R$ 2.000,https://www.facebook.com/marketplace/item/618402836631807/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Cabecote Giannini thunder sound bass e caixa 4x12 tremendão,R$ 2.500,https://www.facebook.com/marketplace/item/806734797104554/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Caixa Stagg 40ba,R$ 500,https://www.facebook.com/marketplace/item/1914203728914138/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
CAIXA ACÚSTICA GIANNINI,R$ 500,https://www.facebook.com/marketplace/item/710972060569124/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Amplificador Baixo Combo Hartke VX3500,R$ 5.900,https://www.facebook.com/marketplace/item/882470876196531/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Marcus Miller V5 com MOD de adição de preamp deoliveira,R$ 6.500,https://www.facebook.com/marketplace/item/1234267034185161/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Amplificador Sheldon Baixo Bss150 Bass Master - Fotos Reais!,R$ 280,https://www.facebook.com/marketplace/item/610445704259191/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Violao Takamine,R$ 1.700,https://www.facebook.com/marketplace/item/729353582053820/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Tobias Growler 5 cordas,R$ 6.500,https://www.facebook.com/marketplace/item/588658646498908/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Caixa contra baixo,Gratuito,https://www.facebook.com/marketplace/item/167941066103274/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Amplificador Cabeçote baixo hartke ha2500 + gabinte falante 15 eminence legend americano troco,R$ 5.500,https://www.facebook.com/marketplace/item/1160977701246591/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contra baixo e amplificador,Gratuito,https://www.facebook.com/marketplace/item/2534062930075436/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Rickenbacker 4001 ano 1980,R$ 24.000,https://www.facebook.com/marketplace/item/199927812741996/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Takamine Japones EF341,R$ 9.200,https://www.facebook.com/marketplace/item/603735284682583/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
AMPEG Portaflex PF-500 com caixa PF210HE,R$ 6.500,https://www.facebook.com/marketplace/item/1391993348261182/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
